composicion,caracter,estrofa,verso,acentos,duracion,xf0,st_M_m,st_tonema,pendiente_verso,pendiente_tonema
001,a,4,2,3,1.6018446624144786,249.38523646135405,5.409222456253748,-1.9189323544769818,-0.44185891614343265,-12.333155926695817
001,a,4,3,3,1.20705229340264,239.62019382830462,2.746052385748962,-1.1151558452189854,-0.9535803675591661,-13.84399468762721
001,a,4,4,2,1.3804302985578687,245.01339597619858,7.839676003226245,-5.293648954649426,0.5013469370352455,-19.909969997069787
001,a,4,5,3,1.5106066050343259,334.97819988940483,9.721198216612615,-4.622993279334727,0.9454680996098918,-19.572211577644463
001,a,4,6,3,1.4344538061267826,278.4606748844077,4.414866374732029,-2.1595639945309824,-0.374357939547194,-17.42439240747658
001,a,4,7,2,1.7598633216032482,252.81195742755236,4.4188688385947925,-0.9599615264124013,-0.36001453489587315,-7.103411083439333
001,a,4,8,2,1.5290844937099308,281.372340208248,11.0333321855463,1.9216720988707612,4.711307403257037,5.910947500143274
001,a,4,9,3,1.4179038908730632,293.18841602375005,6.70691538427418,-2.755594894897495,-1.1048504710757294,-11.381056808572236
001,a,4,10,2,1.6247666693972747,264.20998396577295,10.020981516886051,-7.429589737180243,-4.142853945807568,-54.53920106453994
001,a,5,1,2,1.758519368865393,305.45443167305194,14.338571451154232,-6.328995014973515,-0.4719355373617564,-19.354065529346286
001,a,5,2,3,1.7376967944622095,283.5282603875443,8.413162747624117,-6.9227154775509465,-0.8109863747903256,-18.501568891558925
001,a,5,3,3,1.8300409901416401,281.42203695881034,8.201418500731094,-4.03201791812771,1.4987422070646284,-12.616845573236978
001,a,5,4,2,1.6493417513404012,270.47973705087577,10.08340740952175,-9.204801982033239,-1.972378797095803,-22.446842384140357
001,a,5,5,3,1.5815423819767176,360.3570370558426,8.15152780822369,-2.533513065064913,-1.445264226655735,-6.673548275725158
001,a,5,6,2,1.4119995266300833,311.7887245722173,8.212844953047306,-2.213701073158683,-1.0774792365730754,-6.52154267565576
001,a,5,7,2,1.4393109742585324,282.8020789995808,5.007848540160502,-3.924572104490947,-2.431405593147949,-13.940079261232121
001,a,5,8,2,1.5172771488453662,318.1860410111045,12.413078403919833,-0.7290269158311845,6.689654014510828,-4.137953019984255
001,a,5,9,3,1.3870428252165539,350.3543351958743,7.153215677714573,-3.5355962263705694,-3.0715240634549135,-19.41316186196353
001,a,5,10,2,1.6505173082358482,282.6411745369191,19.5263339798001,-18.75311154509933,-7.612981869487976,-37.23270414917614
002,b,1,1,3,1.768546082125475,257.4626333012648,8.323875103738619,-2.4714151690601205,-1.7552280869988226,-8.473534747349085
002,b,1,2,3,1.3253954256915677,214.63485616701647,3.99456697108052,0.16262137444739633,-0.42685593286053297,0.5145961005137645
002,b,1,3,2,1.459910599119283,216.65045094337538,3.561476685535145,0.718736564324628,0.2703745513598696,2.8835760642311636
002,b,1,4,2,1.3718865364845954,234.6377579147232,6.100746354386648,-4.609498898786375,-0.09713901889926474,-20.2682746737792
002,b,1,5,3,1.4418886495211005,283.3628135677016,7.6847392646694015,-1.2277329190878676,-2.606737702584709,-4.592150763092268
002,b,1,6,2,1.3500976779375193,225.13042294142937,4.77418363855954,-2.6925790488151984,-2.330155959757565,-11.896752897014856
002,b,1,7,3,1.2712345779792855,240.5700394713296,8.645541185531565,-0.6177405539987821,-3.031545385430385,-2.455431695380309
002,b,1,8,2,1.1370909513253906,230.36040060482605,7.684658983785365,1.0522977257556887,6.532096003216775,8.949849509061773
002,b,1,9,2,1.2121074993237713,243.50939419458513,9.132081912773787,-3.929140406134456,-3.432151293361825,-25.982711286575785
