composicion,caracter,estrofa,verso,acentos,duracion,xf0,st_M_m,st_tonema,pendiente_verso,pendiente_tonema
cen,0,2,3,3,1.1863078699543834,313.8234404117983,7.147903650907428,-3.4758053675983547,-2.112045947035258,-14.459889735996837
cen,0,2,4,2,1.168704768032196,274.45050705996545,7.684856778109562,-5.467898638855024,-3.4115350297273905,-16.424226471609554
cen,0,2,5,3,1.3484195838873525,334.0098713826295,6.909826933324137,-0.7130320774435585,-0.23648540515151822,-2.6031464620193816
cen,0,2,6,2,1.2593018830257918,301.56310867225415,9.006669032549045,-7.660722952300516,-4.4165535321996545,-19.93595749564973
cen,0,2,7,3,1.1835994534728975,296.39900560938406,5.743235056914682,-4.263761016141357,-2.720793404948583,-14.575531538230486
cen,0,2,8,2,1.2125412038195194,300.0610317092842,9.07023059303518,0.0030609223437113877,6.477078918697171,0.023496580349917605
cen,0,2,9,2,1.23617595005188,309.01031577942143,7.600268631141674,-2.15982265734377,-0.9990757453755433,-12.13018671264082
cen,0,2,10,2,1.3574594221681302,293.8152584784372,10.675675435471877,-10.12842073348503,-4.133082575762364,-27.900218298718695
cen,0,3,1,2,1.220098031432343,316.25899132350884,8.934858030021275,-1.8539400880175636,4.201757676165283,-9.59342417782727
cen,0,3,2,2,1.236792535258484,284.8511917167412,8.270013682867711,-7.982381712783559,-4.827362175282365,-31.639588869115936
cen,0,3,3,3,1.2617811032419581,316.46824771941647,7.6435887656973005,-5.4003523537739895,-2.394002236223564,-26.203391262789967
cen,0,3,4,2,1.136273909767894,288.36587122948526,8.350539719295487,-8.270658351817437,-1.9810680898218138,-37.4532682504156
cen,0,3,5,2,1.2013321140395021,337.6771253183969,7.712376425988824,-3.433363487879526,0.710643347795883,-19.459245330571797
cen,0,3,6,3,1.2784010816160958,297.73808839988726,9.20500985935868,-8.716717571700569,-4.010530570134835,-28.396197463297934
cen,0,3,7,2,1.1893068571690506,295.27268389474403,6.206359626455467,-4.406760687506907,-2.2622634584867836,-20.849543792405655
cen,0,3,8,2,1.3268069207412552,311.4884436550229,10.081880706227922,0.9071839515720492,6.647904056705774,2.705326028764714
cen,0,3,9,2,1.1191683082343715,322.59615828857517,5.161686160493624,-1.8483140602377848,-2.85025709785264,-8.54907948020483
cen,0,3,10,2,1.216593188556331,301.16841816354594,9.120973803548521,-7.848458888562556,-4.616696610324938,-26.437169198895365
cen,0,4,1,3,1.1649548396175362,320.56877667596143,4.6777870056164135,-3.124991798077695,-0.9145582306668439,-17.985689058083096
cen,0,4,2,2,1.2193545687760334,277.0975297416366,7.104718016588842,-5.750999234058877,-3.3380676492355725,-22.168289816154
cen,0,4,3,3,1.3520003665700102,304.9146606072379,7.889858797730352,-2.5288042943138045,-1.6754279093632738,-14.22542544194743
cen,0,4,4,2,1.0850433507037778,277.70075243012616,7.436966672363996,0.8276577349546375,1.6207379306393355,2.781833191242388
cen,0,4,5,3,1.3020073055733263,338.52322021285147,5.427032457617972,-0.5702543218447995,-1.7184690732110617,-2.1209426669008136
cen,0,4,6,2,1.4345283897446848,292.6810904765851,8.251316420658192,-7.582370308636868,-3.8788650482081084,-24.085267058927858
cen,0,4,7,2,1.3215879032417561,319.73204172936533,6.262718389819912,-3.868479688909205,-3.2563896096259066,-14.613537432111906
cen,0,4,8,2,1.372853622559255,306.7392457339374,8.930254991784343,0.6953402625287325,3.9788359197843364,2.3503911003112674
cen,0,4,9,2,1.2157266048629367,308.5068982887438,4.866963065943711,-2.1116617257349937,-2.3313650455202604,-10.881992722174974
cen,0,4,10,2,1.1185780224494977,296.9951343171753,7.639840153133015,-7.564133824866648,-3.92962292047955,-30.246553231801386
cen,0,5,1,2,1.3336338268000958,296.7600266736392,6.110649697828767,-4.6558077132481825,-0.46067836483875835,-16.94932738765252
cen,0,5,2,2,1.1643562229199986,287.14048476686116,6.525198312394618,-2.3246150787372217,1.463374346941823,-39.511298620557056
cen,0,5,3,2,1.1567386507020387,337.6088058352565,6.099974235358094,-3.9343798197131044,-0.01423509197671229,-54.18912717417301
cen,0,5,4,2,1.2200009233280298,292.4572709090993,7.860086419401641,-6.292497682804806,-5.40882247821946,-17.427451574323232
cen,0,5,5,2,1.241109478506985,294.24567678228993,6.7432187688748275,-4.860528558592793,-1.9114938291207562,-15.541056595348993
cen,0,5,6,2,1.084546007459906,266.1220260631039,6.19082617009964,-4.122399701715311,1.3109202099797628,-42.269459546499185
cen,0,5,7,2,0.995697368073607,281.5669973390368,6.594981946594216,-0.8568483270858637,-1.7534830796635608,-12.587339085396026
cen,0,5,8,2,1.2194675623141649,301.43654479213404,10.041883877942205,0.7821040588092951,6.086393137444146,2.6814452439653382
cen,0,5,9,2,1.009478132943272,329.5230785068457,4.533605307968356,-3.8682081353948092,-1.7269711562686927,-23.974978137765362
cen,0,5,10,2,1.1953281586840347,303.7856066847495,7.278682079468317,-1.439857709105145,-0.999183163314399,-26.296785195318208
