composicion,estrofa,caracter,verso,duracion,velocidad_m,minf0,maxfo,stMm,pendiente_v,st_t,pendiente_t
muestra_2,3,a,7,1.1874717880643857,6.737002159049385,219.84899432342928,279.81158282780115,4.17531301362059,-0.0029520753586898723,-0.34567699731893753,-4.504098701839212
muestra_2,3,a,8,1.4739971509159275,5.427418903102273,222.1494686926655,462.82085899547985,12.707078354484054,0.01069483135013116,3.983079920732425,9.058525212797543
muestra_2,3,a,9,1.3611296809058402,5.877470833400643,218.0923401302213,421.92409034138893,11.424532347040596,-0.009335956891155815,-2.9567587663942407,-11.007413133944615
muestra_2,3,a,10,0.994646863376623,8.04305557536434,150.30883296350294,300.85280962796355,12.013536451706486,0.005685169068217822,0.6253685975039605,6.071372906450531
muestra_2,4,d,1,1.2692580863413738,6.302894648526475,228.55565763003773,346.2481405744797,7.191129503769552,-0.022505568307342023,-5.620864923047203,-38.53553293514532
muestra_2,4,d,2,1.2241568490158983,6.535110273190248,214.44625614857426,297.58727894579664,5.672360725718649,-0.02008849422106073,-4.111510851093552,-25.658035850056915
muestra_2,4,d,3,1.2119739565075633,6.60080190423636,217.96668453182005,361.500098236492,8.758660780962384,-0.017707292481139548,-4.986563262874445,-30.724923580925605
muestra_2,4,d,4,1.2236662953979263,6.537730123063057,209.0784805735007,353.9178563677855,9.112439669853508,-0.03068413330208735,-8.824911368510158,-33.04331188228485
muestra_2,4,d,5,1.2050217336715292,6.63888440885223,262.6588971984011,391.33599402764486,6.902608283536535,-0.01014777437819484,-3.565521255682362,-24.793712406205305
muestra_2,4,d,6,1.539196222269318,5.197517954017051,213.50236489306099,309.53184051014523,6.430029265600911,-0.018847531539344823,-5.059179952065589,-20.694252099447283
muestra_2,4,d,7,1.526654672851933,5.24021584072792,213.10460298428126,275.81847830863506,4.465888289955627,-0.013092691078411102,-3.448742321599184,-14.226409607318308
muestra_2,4,d,8,1.5560828708616299,5.141114364667649,206.41883868020983,451.2236245791529,13.539215532895732,0.003959681328035296,1.3030785497844484,4.314891012754463
muestra_2,4,d,9,1.0188610572466956,7.8519047745515795,259.53565372119954,457.9543361133613,9.831252094966732,-0.0115803645726507,-2.9570020900385723,-19.99105456556967
muestra_2,4,d,10,1.2771899892283614,6.263750943454664,135.73210241574841,346.7006902799185,16.235144779229678,-0.08640866427209701,-12.813026190919606,-44.86973278237854
muestra_2,5,d,1,1.3629808580957103,5.869488153470626,183.12464600728,423.08486575933665,14.49745330824343,-0.011173772927913345,-4.547822260439468,-19.927189662677673
muestra_2,5,d,2,1.1749306940432547,6.808912253768632,247.70916145699704,339.00110765582855,5.43171311982877,-0.0010765857894728694,2.417713629868462,9.89328461465216
muestra_2,5,d,3,1.3395934547696413,5.971961098731774,219.45267431652877,271.78302940396867,3.7025462778734664,-0.009290690830473885,-2.2381010288996457,-20.785354273187444
muestra_2,5,d,4,1.4832565581007202,5.3935375888334764,207.6390240421667,398.54637703173825,11.288040024480509,-0.03309294440134885,-10.388601099798327,-32.14830668219068
muestra_2,5,d,5,1.4520783852539694,5.509344454983259,263.86268575948094,434.23135151010723,8.624118557856875,-0.01245452929356646,-5.383017728950724,-24.01175182919606
muestra_2,5,d,6,1.5945029321926825,5.017237559418465,227.60464728673412,386.3970497886036,9.162648764838533,-0.015803813042610696,-6.153436118088219,-22.402671087528336
muestra_2,5,d,7,1.4495481201751659,5.518961315360311,216.26548542008453,286.33471676497567,4.8587899469136095,-0.007412479828707004,-2.2549017939390543,-9.793632323072442
muestra_2,5,d,8,1.6782164841766445,4.766965451376142,216.62442267597794,444.0618706741797,12.426777543475144,0.004239077842840457,1.5956171623050845,3.9700560404093737
muestra_2,5,d,9,1.3390307482240473,5.974470721161838,262.483974870834,471.0028311118448,10.122076624283185,-0.010022427945695096,-3.2531067879673743,-12.885738735810321
muestra_2,5,d,10,1.2178570019849388,6.5689157158526035,164.58813920265564,298.03912154248894,10.27969610287224,-0.024831230322517384,-6.01368759050237,-39.71941530910351
